request_type,department,officer_workload,queue_size,priority,medical_urgency,legal_urgency,citizen_category,escalation_count,base_days,sla_limit_days,processing_days,delayed,sla_breached,officer_id,is_anomaly,anomaly_type
Scholarship Request,Social Welfare,19,90,High,0,0,ST,0,12.0,15.0,22.44,1,1,109,0,None
Land Approval,Land,17,131,Medium,0,0,General,0,30.0,45.0,96.08,1,1,103,0,None
Business License,Commercial,40,175,Low,0,0,ST,0,20.0,25.0,126.34,1,1,102,0,None
Land Approval,Land,15,67,Low,0,0,Senior Citizen,0,30.0,45.0,90.72,1,1,107,0,None
Caste Certificate,Revenue,14,133,High,0,0,General,0,7.0,10.0,14.78,1,1,110,0,None
Residence Certificate,Revenue,49,199,Low,0,0,General,0,4.0,7.0,28.2,1,1,102,0,None
Income Certificate,Revenue,16,116,Low,0,0,General,0,5.0,7.0,19.7,1,1,103,0,None
Pension Request,Social Welfare,38,235,Medium,0,0,OBC,1,18.0,21.0,136.98,1,1,112,0,None
Caste Certificate,Revenue,9,57,Medium,0,0,General,1,7.0,10.0,21.25,1,1,108,0,None
Income Certificate,Revenue,15,85,Medium,0,0,OBC,0,5.0,7.0,12.85,1,1,102,0,None
Income Certificate,Revenue,42,179,High,1,0,OBC,0,5.0,7.0,17.18,1,1,113,0,None
General Service Request,Revenue,16,79,Medium,0,0,General,0,6.0,10.0,16.03,1,1,111,0,None
Income Certificate,Revenue,15,120,Low,0,0,Senior Citizen,0,5.0,7.0,19.92,1,1,113,0,None
Business License,Commercial,43,251,Low,0,0,General,0,20.0,25.0,126.6,1,1,111,1,excessive_delay
General Service Request,Revenue,22,151,High,0,0,General,0,6.0,10.0,14.55,1,1,101,0,None
Caste Certificate,Revenue,12,107,Medium,0,0,OBC,1,7.0,10.0,25.98,1,1,101,0,None
Pension Request,Social Welfare,15,111,Low,0,0,OBC,0,18.0,21.0,61.39,1,1,107,0,None
Caste Certificate,Revenue,27,171,Medium,0,0,General,0,7.0,10.0,30.5,1,1,102,0,None
Caste Certificate,Revenue,24,132,Low,0,0,OBC,0,7.0,10.0,32.16,1,1,106,0,None
Pension Request,Social Welfare,14,147,Medium,0,0,General,0,18.0,21.0,59.05,1,1,103,0,None
Scholarship Request,Social Welfare,40,251,Medium,0,0,General,0,12.0,15.0,68.69,1,1,112,0,None
General Service Request,Revenue,20,147,Low,0,0,OBC,0,6.0,10.0,26.94,1,1,108,0,None
Business License,Commercial,33,202,Medium,0,0,Senior Citizen,0,20.0,25.0,96.9,1,1,103,0,None
Caste Certificate,Revenue,17,113,Medium,0,0,General,0,7.0,10.0,20.19,1,1,104,0,None
Pension Request,Social Welfare,15,116,Low,0,0,OBC,0,18.0,21.0,67.5,1,1,105,0,None
Scholarship Request,Social Welfare,16,98,Medium,0,0,OBC,1,12.0,15.0,49.99,1,1,102,0,None
Scholarship Request,Social Welfare,22,175,Medium,0,0,General,2,12.0,15.0,81.7,1,1,105,0,None
Pension Request,Social Welfare,22,133,High,0,0,ST,1,18.0,21.0,65.45,1,1,109,0,None
Land Approval,Land,21,136,Critical,0,0,OBC,0,30.0,45.0,43.22,1,0,104,0,None
Residence Certificate,Revenue,13,91,Medium,0,0,Senior Citizen,0,4.0,7.0,9.36,1,1,103,0,None
Caste Certificate,Revenue,13,136,Low,0,0,OBC,0,7.0,10.0,29.31,1,1,108,0,None
Land Approval,Land,31,223,Medium,0,0,General,0,30.0,45.0,142.82,1,1,102,0,None
Pension Request,Social Welfare,35,245,High,0,0,General,0,18.0,21.0,62.14,1,1,105,0,None
Income Certificate,Revenue,19,127,Medium,0,0,General,0,5.0,7.0,15.36,1,1,102,0,None
Land Approval,Land,14,132,Low,0,0,OBC,0,30.0,45.0,115.01,1,1,110,0,None
Business License,Commercial,18,158,Medium,0,0,General,0,20.0,25.0,68.68,1,1,112,0,None
General Service Request,Revenue,31,208,High,0,0,General,0,6.0,10.0,21.05,1,1,107,0,None
Pension Request,Social Welfare,8,65,Medium,0,0,OBC,1,18.0,21.0,56.07,1,1,108,0,None
Complaint Registration,Complaints,32,181,Low,0,0,SC,1,15.0,20.0,121.35,1,1,105,0,None
Residence Certificate,Revenue,14,133,Medium,0,0,OBC,1,4.0,7.0,16.58,1,1,103,0,None
Income Certificate,Revenue,16,88,Low,0,0,ST,0,5.0,7.0,17.67,1,1,113,0,None
Income Certificate,Revenue,32,135,Low,0,0,General,0,5.0,7.0,26.48,1,1,102,0,None
Caste Certificate,Revenue,9,55,Low,0,0,General,0,7.0,10.0,19.06,1,1,103,0,None
Income Certificate,Revenue,36,278,Medium,0,0,General,0,5.0,7.0,28.44,1,1,102,0,None
Income Certificate,Revenue,8,76,High,0,0,General,0,5.0,7.0,7.38,1,1,114,0,None
General Service Request,Revenue,18,175,Low,0,0,General,1,6.0,10.0,39.3,1,1,105,0,None
General Service Request,Revenue,12,115,Low,0,0,General,0,6.0,10.0,22.08,1,1,110,0,None
General Service Request,Revenue,35,224,High,0,0,General,1,6.0,10.0,30.19,1,1,111,0,None
Income Certificate,Revenue,17,166,Medium,0,0,General,0,5.0,7.0,18.29,1,1,109,0,None
Pension Request,Social Welfare,20,97,Low,0,0,OBC,0,18.0,21.0,70.28,1,1,107,0,None
Scholarship Request,Social Welfare,16,112,Medium,0,0,General,0,12.0,15.0,35.48,1,1,108,0,None
Business License,Commercial,14,128,Medium,0,0,General,1,20.0,25.0,84.43,1,1,112,0,None
Complaint Registration,Complaints,21,156,Medium,0,0,General,0,15.0,20.0,53.09,1,1,104,0,None
Pension Request,Social Welfare,16,125,Medium,0,0,ST,0,18.0,21.0,51.9,1,1,108,0,None
Income Certificate,Revenue,21,119,Low,0,0,OBC,0,5.0,7.0,20.88,1,1,110,0,None
Caste Certificate,Revenue,14,71,Medium,0,0,ST,0,7.0,10.0,15.63,1,1,102,0,None
Complaint Registration,Complaints,22,145,Low,0,0,General,2,15.0,20.0,124.79,1,1,114,0,None
Complaint Registration,Complaints,15,106,Low,0,0,General,1,15.0,20.0,82.03,1,1,112,0,None
Business License,Commercial,19,158,Medium,0,0,Senior Citizen,0,20.0,25.0,70.77,1,1,102,0,None
Income Certificate,Revenue,19,137,Low,0,0,General,0,5.0,7.0,22.54,1,1,111,0,None
Land Approval,Land,8,36,Medium,0,0,OBC,0,30.0,45.0,62.97,1,1,105,0,None
Complaint Registration,Complaints,21,127,Medium,0,0,ST,0,15.0,20.0,48.89,1,1,104,0,None
Pension Request,Social Welfare,8,80,Critical,1,0,General,0,18.0,21.0,13.01,0,0,113,0,None
Land Approval,Land,33,231,Medium,0,0,General,0,30.0,45.0,149.07,1,1,104,0,None
Caste Certificate,Revenue,33,191,High,0,0,SC,0,7.0,10.0,22.03,1,1,108,0,None
Business License,Commercial,25,150,Low,0,0,OBC,0,20.0,25.0,96.89,1,1,106,0,None
Caste Certificate,Revenue,16,113,Low,0,0,General,2,7.0,10.0,47.36,1,1,109,0,None
General Service Request,Revenue,12,95,High,0,0,ST,0,6.0,10.0,9.9,1,0,105,0,None
Complaint Registration,Complaints,28,213,Medium,0,0,General,0,15.0,20.0,65.26,1,1,102,0,None
Business License,Commercial,15,115,High,0,0,OBC,0,20.0,25.0,32.64,1,1,110,0,None
Income Certificate,Revenue,23,168,Low,0,0,General,0,5.0,7.0,24.56,1,1,106,0,None
General Service Request,Revenue,17,142,Medium,0,0,General,0,6.0,10.0,19.34,1,1,107,0,None
Residence Certificate,Revenue,14,153,Medium,0,0,General,0,4.0,7.0,13.39,1,1,111,0,None
Complaint Registration,Complaints,12,109,Low,0,0,SC,0,15.0,20.0,52.76,1,1,104,0,None
Caste Certificate,Revenue,17,91,Medium,0,0,OBC,1,7.0,10.0,26.63,1,1,103,0,None
Income Certificate,Revenue,17,138,Medium,0,0,OBC,2,5.0,7.0,28.66,1,1,105,0,None
Pension Request,Social Welfare,29,178,Critical,0,1,SC,0,18.0,21.0,34.16,1,1,104,0,None
Caste Certificate,Revenue,20,169,Medium,0,0,General,0,7.0,10.0,24.78,1,1,104,0,None
Residence Certificate,Revenue,27,142,Critical,0,1,General,0,4.0,7.0,6.3,1,0,114,0,None
Land Approval,Land,32,272,Medium,0,0,ST,0,30.0,45.0,157.42,1,1,108,0,None
Residence Certificate,Revenue,33,280,Medium,0,0,General,0,4.0,7.0,20.91,1,1,105,0,None
Residence Certificate,Revenue,16,146,Low,0,0,General,0,4.0,7.0,16.73,1,1,109,0,None
General Service Request,Revenue,22,178,Medium,0,0,Senior Citizen,0,6.0,10.0,21.3,1,1,103,0,None
Land Approval,Land,20,172,Medium,0,0,ST,0,30.0,45.0,113.06,1,1,101,0,None
Income Certificate,Revenue,14,116,Medium,0,0,ST,0,5.0,7.0,13.44,1,1,106,1,high_rejections
Caste Certificate,Revenue,15,121,Medium,0,0,General,2,7.0,10.0,38.21,1,1,103,0,None
Complaint Registration,Complaints,8,85,Medium,0,0,OBC,0,15.0,20.0,34.26,1,1,102,0,None
Pension Request,Social Welfare,15,63,Low,0,0,Senior Citizen,0,18.0,21.0,51.13,1,1,102,0,None
Pension Request,Social Welfare,9,107,Low,0,0,SC,0,18.0,21.0,58.08,1,1,104,0,None
Pension Request,Social Welfare,21,156,High,0,0,General,0,18.0,21.0,52.6,1,1,111,0,None
Scholarship Request,Social Welfare,15,88,Low,0,0,SC,0,12.0,15.0,38.09,1,1,105,0,None
Land Approval,Land,17,146,Low,0,0,General,0,30.0,45.0,129.76,1,1,114,0,None
Business License,Commercial,37,250,Low,0,0,General,2,20.0,25.0,251.48,1,1,110,0,None
Pension Request,Social Welfare,18,95,High,0,0,OBC,0,18.0,21.0,91.67,1,1,104,1,excessive_delay
Caste Certificate,Revenue,18,147,Medium,0,0,General,0,7.0,10.0,24.47,1,1,106,0,None
Scholarship Request,Social Welfare,39,261,Medium,0,0,General,1,12.0,15.0,93.47,1,1,105,0,None
General Service Request,Revenue,19,178,Medium,0,0,OBC,0,6.0,10.0,21.84,1,1,114,0,None
Business License,Commercial,15,68,Low,0,0,General,0,20.0,25.0,62.28,1,1,113,0,None
Pension Request,Social Welfare,16,97,Medium,0,0,SC,0,18.0,21.0,50.12,1,1,101,0,None
Pension Request,Social Welfare,36,301,High,0,0,OBC,0,18.0,21.0,74.69,1,1,101,0,None
Complaint Registration,Complaints,18,151,Medium,0,0,General,0,15.0,20.0,51.38,1,1,106,0,None
Caste Certificate,Revenue,18,128,High,0,0,General,0,7.0,10.0,16.51,1,1,107,0,None
Caste Certificate,Revenue,19,171,Medium,0,0,SC,1,7.0,10.0,35.45,1,1,108,0,None
Land Approval,Land,26,183,Medium,0,0,SC,0,30.0,45.0,123.61,1,1,109,0,None
Income Certificate,Revenue,10,43,Low,0,0,SC,0,5.0,7.0,11.83,1,1,107,0,None
Pension Request,Social Welfare,16,150,Medium,0,0,General,0,18.0,21.0,61.45,1,1,101,0,None
Land Approval,Land,15,139,Medium,0,0,General,0,30.0,45.0,98.8,1,1,104,0,None
Residence Certificate,Revenue,11,88,High,0,0,General,0,4.0,7.0,6.24,1,0,109,0,None
Complaint Registration,Complaints,20,126,High,0,0,General,0,15.0,20.0,31.97,1,1,105,0,None
Scholarship Request,Social Welfare,37,216,Low,0,0,General,0,12.0,15.0,76.02,1,1,109,0,None
Complaint Registration,Complaints,12,78,Low,0,0,General,0,15.0,20.0,47.94,1,1,104,0,None
Income Certificate,Revenue,16,90,Low,0,0,General,0,5.0,7.0,17.69,1,1,109,0,None
Pension Request,Social Welfare,35,194,Low,0,0,OBC,0,18.0,21.0,110.36,1,1,111,0,None
General Service Request,Revenue,14,107,Medium,0,0,General,0,6.0,10.0,16.1,1,1,105,0,None
Income Certificate,Revenue,13,107,Low,0,0,OBC,0,5.0,7.0,17.0,1,1,108,0,None
Income Certificate,Revenue,15,125,Low,0,0,General,0,5.0,7.0,19.6,1,1,108,0,None
Scholarship Request,Social Welfare,23,104,Medium,0,0,SC,1,12.0,15.0,52.31,1,1,106,0,None
General Service Request,Revenue,33,242,Medium,0,0,General,0,6.0,10.0,28.57,1,1,110,0,None
Scholarship Request,Social Welfare,17,91,Medium,0,0,Senior Citizen,1,12.0,15.0,46.16,1,1,101,0,None
Pension Request,Social Welfare,20,162,Medium,0,0,General,0,18.0,21.0,59.88,1,1,111,0,None
Income Certificate,Revenue,15,154,High,0,0,OBC,0,5.0,7.0,11.47,1,1,106,0,None
General Service Request,Revenue,12,77,High,0,0,Senior Citizen,0,6.0,10.0,9.25,1,0,106,0,None
Scholarship Request,Social Welfare,14,106,Medium,0,0,Differently Abled,1,12.0,15.0,43.44,1,1,106,0,None
Income Certificate,Revenue,12,122,High,0,0,SC,2,5.0,7.0,17.7,1,1,107,0,None
Complaint Registration,Complaints,15,78,Low,0,0,General,0,15.0,20.0,48.58,1,1,106,0,None
Residence Certificate,Revenue,17,112,Medium,0,0,General,0,4.0,7.0,11.26,1,1,109,0,None
Land Approval,Land,12,140,Medium,0,0,ST,0,30.0,45.0,85.46,1,1,107,0,None
Complaint Registration,Complaints,15,95,Medium,0,0,ST,0,15.0,20.0,40.92,1,1,105,0,None
Caste Certificate,Revenue,18,144,High,0,0,General,0,7.0,10.0,17.73,1,1,108,0,None
Business License,Commercial,18,87,Medium,0,0,General,0,20.0,25.0,54.41,1,1,110,0,None
Residence Certificate,Revenue,19,117,Medium,0,0,OBC,0,4.0,7.0,12.09,1,1,112,0,None
Caste Certificate,Revenue,15,82,Medium,0,0,General,0,7.0,10.0,16.42,1,1,102,0,None
Scholarship Request,Social Welfare,16,135,Critical,1,0,General,0,12.0,15.0,58.95,1,1,111,1,excessive_delay
Caste Certificate,Revenue,19,158,Medium,0,0,General,0,7.0,10.0,25.96,1,1,105,0,None
Business License,Commercial,27,184,Medium,0,0,General,0,20.0,25.0,83.05,1,1,113,0,None
Pension Request,Social Welfare,16,132,Medium,0,0,SC,0,18.0,21.0,58.43,1,1,102,0,None
Scholarship Request,Social Welfare,10,81,Medium,0,0,OBC,1,12.0,15.0,37.99,1,1,108,0,None
Caste Certificate,Revenue,16,109,High,0,0,OBC,0,7.0,10.0,0.5,0,0,109,1,fast_approval
Business License,Commercial,18,163,Medium,0,0,General,0,20.0,25.0,68.28,1,1,109,0,None
Residence Certificate,Revenue,12,94,Medium,0,0,General,0,4.0,7.0,9.63,1,1,103,0,None
Caste Certificate,Revenue,26,200,Medium,0,0,General,0,7.0,10.0,28.31,1,1,111,0,None
Business License,Commercial,32,149,Low,0,0,Senior Citizen,0,20.0,25.0,110.21,1,1,114,0,None
Complaint Registration,Complaints,47,415,High,0,0,OBC,0,15.0,20.0,79.13,1,1,114,0,None
Business License,Commercial,26,209,Medium,0,0,ST,0,20.0,25.0,81.98,1,1,112,0,None
Income Certificate,Revenue,30,197,High,0,0,SC,0,5.0,7.0,15.05,1,1,114,0,None
Pension Request,Social Welfare,19,86,Critical,1,0,SC,0,18.0,21.0,19.01,0,0,106,0,None
Caste Certificate,Revenue,21,137,Medium,0,0,General,0,7.0,10.0,23.88,1,1,114,0,None
Income Certificate,Revenue,20,126,High,0,0,General,0,5.0,7.0,10.45,1,1,102,0,None
Caste Certificate,Revenue,15,96,Low,0,0,General,0,7.0,10.0,26.05,1,1,114,0,None
Income Certificate,Revenue,22,109,Low,0,0,General,0,5.0,7.0,20.68,1,1,111,0,None
Income Certificate,Revenue,13,126,Low,0,0,OBC,0,5.0,7.0,18.61,1,1,101,0,None
Complaint Registration,Complaints,17,113,Low,0,0,General,0,15.0,20.0,55.18,1,1,105,0,None
Caste Certificate,Revenue,33,258,Medium,0,0,General,0,7.0,10.0,37.26,1,1,103,0,None
Scholarship Request,Social Welfare,20,198,Medium,0,0,General,0,12.0,15.0,42.84,1,1,102,0,None
Land Approval,Land,20,96,Medium,0,0,OBC,0,30.0,45.0,87.43,1,1,114,0,None
Residence Certificate,Revenue,18,125,Low,0,0,Senior Citizen,0,4.0,7.0,17.4,1,1,107,0,None
Land Approval,Land,11,79,Medium,0,0,ST,0,30.0,45.0,79.24,1,1,114,0,None
Caste Certificate,Revenue,14,83,Low,0,0,General,0,7.0,10.0,24.28,1,1,114,0,None
Income Certificate,Revenue,17,105,High,1,0,General,0,5.0,7.0,10.72,1,1,103,0,None
Residence Certificate,Revenue,23,96,Medium,0,0,General,0,4.0,7.0,13.14,1,1,106,0,None
Income Certificate,Revenue,12,87,Medium,0,0,General,0,5.0,7.0,12.35,1,1,114,0,None
Complaint Registration,Complaints,15,161,Medium,0,0,General,0,15.0,20.0,46.35,1,1,103,0,None
Income Certificate,Revenue,23,143,Medium,0,0,ST,0,5.0,7.0,19.13,1,1,106,0,None
Pension Request,Social Welfare,15,83,Critical,0,1,ST,0,18.0,21.0,18.06,0,0,114,0,None
Business License,Commercial,13,108,Medium,0,0,OBC,0,20.0,25.0,55.04,1,1,110,0,None
Business License,Commercial,28,179,High,0,0,SC,0,20.0,25.0,65.34,1,1,109,0,None
Business License,Commercial,15,70,Medium,0,0,OBC,0,20.0,25.0,49.24,1,1,111,0,None
Land Approval,Land,10,96,Critical,0,0,SC,0,30.0,45.0,33.15,0,0,110,0,None
Business License,Commercial,27,151,Medium,0,0,General,0,20.0,25.0,74.3,1,1,103,0,None
Caste Certificate,Revenue,19,110,High,0,1,OBC,1,7.0,10.0,20.65,1,1,107,0,None
Complaint Registration,Complaints,12,120,High,0,0,General,0,15.0,20.0,26.97,1,1,104,0,None
Caste Certificate,Revenue,21,166,High,0,0,OBC,1,7.0,10.0,27.41,1,1,102,0,None
Business License,Commercial,25,217,Medium,0,0,General,0,20.0,25.0,85.55,1,1,114,0,None
Land Approval,Land,23,157,Medium,0,0,General,0,30.0,45.0,116.42,1,1,114,0,None
Caste Certificate,Revenue,22,190,Medium,0,0,General,0,7.0,10.0,28.49,1,1,103,0,None
Income Certificate,Revenue,11,56,Medium,0,0,Senior Citizen,2,5.0,7.0,19.13,1,1,102,0,None
Scholarship Request,Social Welfare,32,138,High,0,0,OBC,2,12.0,15.0,60.07,1,1,113,0,None
Residence Certificate,Revenue,25,89,Low,0,0,OBC,0,4.0,7.0,15.58,1,1,107,0,None
General Service Request,Revenue,21,183,High,0,0,General,0,6.0,10.0,16.86,1,1,112,0,None
Income Certificate,Revenue,19,169,Medium,0,0,General,2,5.0,7.0,32.5,1,1,102,0,None
Business License,Commercial,11,58,Critical,0,0,Senior Citizen,0,20.0,25.0,20.94,0,0,104,0,None
Residence Certificate,Revenue,16,100,Critical,1,0,OBC,2,4.0,7.0,8.1,1,1,113,0,None
Scholarship Request,Social Welfare,24,92,Medium,0,0,ST,0,12.0,15.0,37.33,1,1,101,0,None
Caste Certificate,Revenue,6,34,Low,0,0,General,0,7.0,10.0,14.18,1,1,113,0,None
Pension Request,Social Welfare,24,166,Medium,0,0,OBC,0,18.0,21.0,71.9,1,1,109,0,None
Business License,Commercial,36,294,Low,0,0,OBC,0,20.0,25.0,146.39,1,1,106,0,None
Income Certificate,Revenue,10,83,Medium,0,0,ST,0,5.0,7.0,11.49,1,1,107,0,None
General Service Request,Revenue,30,160,Medium,0,0,General,0,6.0,10.0,23.76,1,1,104,0,None
Scholarship Request,Social Welfare,13,95,Low,0,0,General,0,12.0,15.0,41.66,1,1,105,0,None
Land Approval,Land,24,124,High,0,0,General,0,30.0,45.0,154.28,1,1,101,1,excessive_delay
Land Approval,Land,26,178,Critical,1,1,General,0,30.0,45.0,41.1,1,0,103,0,None
Caste Certificate,Revenue,35,306,Critical,0,1,General,0,7.0,10.0,15.69,1,1,112,0,None
Caste Certificate,Revenue,19,110,Low,0,0,General,0,7.0,10.0,29.34,1,1,106,0,None
Income Certificate,Revenue,15,94,Medium,0,0,General,0,5.0,7.0,13.53,1,1,109,0,None
General Service Request,Revenue,13,126,Low,0,0,General,0,6.0,10.0,23.42,1,1,105,0,None
General Service Request,Revenue,12,86,Critical,0,1,SC,0,6.0,10.0,5.11,0,0,101,0,None
Residence Certificate,Revenue,41,355,Medium,0,0,Senior Citizen,0,4.0,7.0,26.51,1,1,106,0,None
General Service Request,Revenue,26,119,Low,0,0,General,0,6.0,10.0,27.95,1,1,102,0,None
Scholarship Request,Social Welfare,30,244,Medium,0,0,SC,0,12.0,15.0,59.79,1,1,103,0,None
Business License,Commercial,14,58,Medium,0,0,General,1,20.0,25.0,64.11,1,1,109,0,None
Complaint Registration,Complaints,16,110,Medium,0,0,ST,1,15.0,20.0,60.94,1,1,110,0,None
Caste Certificate,Revenue,41,342,Medium,0,0,General,0,7.0,10.0,46.14,1,1,109,0,None
Pension Request,Social Welfare,48,366,Medium,0,0,Differently Abled,0,18.0,21.0,125.43,1,1,108,0,None
Scholarship Request,Social Welfare,13,110,High,0,0,General,0,12.0,15.0,24.52,1,1,114,0,None
Pension Request,Social Welfare,21,166,Medium,0,0,ST,0,18.0,21.0,67.62,1,1,107,0,None
Caste Certificate,Revenue,7,39,Low,0,0,Differently Abled,2,7.0,10.0,29.38,1,1,113,0,None
Scholarship Request,Social Welfare,15,123,High,0,0,General,2,12.0,15.0,45.0,1,1,107,0,None
Complaint Registration,Complaints,9,81,Medium,0,0,General,0,15.0,20.0,35.39,1,1,111,0,None
Scholarship Request,Social Welfare,16,131,Medium,0,0,General,0,12.0,15.0,37.86,1,1,104,0,None
Land Approval,Land,18,110,Medium,0,0,General,0,30.0,45.0,102.42,1,1,113,0,None
Scholarship Request,Social Welfare,12,77,High,0,0,ST,0,12.0,15.0,19.08,1,1,114,0,None
Residence Certificate,Revenue,14,126,Medium,0,0,Senior Citizen,0,4.0,7.0,9.99,1,1,110,0,None
Complaint Registration,Complaints,24,140,Critical,0,0,General,0,15.0,20.0,21.76,1,1,107,0,None
Caste Certificate,Revenue,29,238,Medium,0,0,ST,0,7.0,10.0,34.7,1,1,112,0,None
Scholarship Request,Social Welfare,15,78,Medium,0,0,General,0,12.0,15.0,26.98,1,1,110,0,None
Residence Certificate,Revenue,16,67,High,1,0,General,0,4.0,7.0,8.05,1,1,104,0,None
Caste Certificate,Revenue,15,156,High,0,0,General,0,7.0,10.0,16.35,1,1,104,0,None
Income Certificate,Revenue,14,136,Low,0,0,General,0,5.0,7.0,20.6,1,1,112,0,None
Pension Request,Social Welfare,18,89,Medium,0,0,OBC,0,18.0,21.0,52.84,1,1,113,0,None
Pension Request,Social Welfare,16,76,Low,0,0,Senior Citizen,0,18.0,21.0,61.21,1,1,107,0,None
Scholarship Request,Social Welfare,12,80,High,0,0,Differently Abled,0,12.0,15.0,20.33,1,1,103,0,None
Land Approval,Land,23,158,Low,0,0,ST,0,30.0,45.0,149.93,1,1,101,0,None
Caste Certificate,Revenue,16,155,Medium,0,0,ST,0,7.0,10.0,21.45,1,1,105,0,None
Income Certificate,Revenue,15,113,Critical,0,0,ST,1,5.0,7.0,7.41,1,1,113,0,None
Caste Certificate,Revenue,18,150,Medium,0,0,ST,0,7.0,10.0,23.35,1,1,108,0,None
Land Approval,Land,9,91,Medium,0,0,SC,0,30.0,45.0,66.68,1,1,111,0,None
Residence Certificate,Revenue,14,91,Medium,0,0,Senior Citizen,0,4.0,7.0,10.47,1,1,106,0,None
General Service Request,Revenue,22,127,Low,0,0,General,0,6.0,10.0,26.15,1,1,101,0,None
Business License,Commercial,22,167,High,0,0,OBC,2,20.0,25.0,94.56,1,1,103,0,None
Pension Request,Social Welfare,20,154,Medium,0,0,General,0,18.0,21.0,60.34,1,1,112,0,None
Scholarship Request,Social Welfare,15,136,Critical,0,0,Senior Citizen,1,12.0,15.0,18.7,1,1,102,0,None
Complaint Registration,Complaints,11,98,High,0,0,General,0,15.0,20.0,26.03,1,1,114,0,None
Complaint Registration,Complaints,29,125,Low,0,0,General,0,15.0,20.0,68.25,1,1,106,0,None
Complaint Registration,Complaints,27,194,High,1,0,SC,0,15.0,20.0,46.04,1,1,104,0,None
Pension Request,Social Welfare,17,166,Medium,0,0,OBC,0,18.0,21.0,66.14,1,1,107,0,None
Scholarship Request,Social Welfare,8,77,Medium,0,0,ST,1,12.0,15.0,39.5,1,1,103,0,None
Income Certificate,Revenue,27,131,High,1,0,ST,3,5.0,7.0,27.56,1,1,103,0,None
Caste Certificate,Revenue,37,260,Medium,0,0,General,0,7.0,10.0,39.41,1,1,102,0,None
Business License,Commercial,20,138,Low,0,0,Senior Citizen,0,20.0,25.0,86.2,1,1,113,0,None
Business License,Commercial,15,122,Critical,1,0,General,0,20.0,25.0,26.21,1,1,111,0,None
Scholarship Request,Social Welfare,27,170,Medium,0,0,General,0,12.0,15.0,48.82,1,1,102,0,None
Income Certificate,Revenue,12,93,High,0,0,Senior Citizen,0,5.0,7.0,9.15,1,1,114,0,None
Land Approval,Land,18,115,Low,0,0,General,0,30.0,45.0,120.1,1,1,111,0,None
Complaint Registration,Complaints,18,147,Low,0,0,General,0,15.0,20.0,65.97,1,1,109,0,None
Pension Request,Social Welfare,17,151,High,0,0,General,0,18.0,21.0,40.12,1,1,111,0,None
Pension Request,Social Welfare,15,68,Medium,0,0,OBC,0,18.0,21.0,42.21,1,1,102,0,None
General Service Request,Revenue,31,201,Low,0,0,General,0,6.0,10.0,34.7,1,1,104,0,None
General Service Request,Revenue,24,99,Medium,0,0,General,0,6.0,10.0,18.69,1,1,108,0,None
Residence Certificate,Revenue,8,59,Low,0,0,SC,0,4.0,7.0,9.93,1,1,105,0,None
Complaint Registration,Complaints,15,90,Medium,0,0,Senior Citizen,0,15.0,20.0,41.08,1,1,106,0,None
Income Certificate,Revenue,23,118,Low,0,0,Differently Abled,0,5.0,7.0,21.76,1,1,111,0,None
Residence Certificate,Revenue,16,155,Medium,0,0,SC,0,4.0,7.0,14.06,1,1,101,0,None
Pension Request,Social Welfare,14,135,Low,0,0,ST,0,18.0,21.0,74.25,1,1,107,0,None
Scholarship Request,Social Welfare,23,130,High,1,0,ST,0,12.0,15.0,30.07,1,1,104,0,None
Scholarship Request,Social Welfare,15,115,Medium,0,0,General,0,12.0,15.0,37.64,1,1,103,0,None
Land Approval,Land,18,124,High,0,0,General,0,30.0,45.0,64.83,1,1,106,0,None
General Service Request,Revenue,22,189,Medium,0,0,ST,0,6.0,10.0,21.72,1,1,114,0,None
Complaint Registration,Complaints,21,212,Critical,0,0,SC,0,15.0,20.0,25.36,1,1,105,0,None
Caste Certificate,Revenue,17,157,Low,0,0,General,0,7.0,10.0,32.25,1,1,113,0,None
Scholarship Request,Social Welfare,25,159,High,0,0,General,1,12.0,15.0,49.47,1,1,109,0,None
Complaint Registration,Complaints,22,165,Critical,1,0,Senior Citizen,0,15.0,20.0,22.88,1,1,109,0,None
General Service Request,Revenue,22,120,High,0,0,General,2,6.0,10.0,24.13,1,1,110,0,None
Scholarship Request,Social Welfare,17,169,Critical,0,0,General,0,12.0,15.0,17.1,1,1,106,0,None
General Service Request,Revenue,12,89,High,1,0,General,0,6.0,10.0,9.57,1,0,102,0,None
Income Certificate,Revenue,12,127,Medium,0,0,ST,0,5.0,7.0,14.45,1,1,112,0,None
Caste Certificate,Revenue,14,149,High,0,0,General,0,7.0,10.0,15.45,1,1,114,0,None
General Service Request,Revenue,15,71,Low,0,0,General,0,6.0,10.0,19.52,1,1,111,0,None
Residence Certificate,Revenue,30,180,Medium,0,0,General,0,4.0,7.0,17.42,1,1,111,0,None
Residence Certificate,Revenue,27,122,Medium,0,0,General,0,4.0,7.0,13.65,1,1,101,0,None
Pension Request,Social Welfare,32,231,Low,0,0,General,0,18.0,21.0,114.82,1,1,113,0,None
Income Certificate,Revenue,39,319,Low,0,0,ST,0,5.0,7.0,40.73,1,1,113,0,None
Caste Certificate,Revenue,15,99,High,0,0,General,0,7.0,10.0,13.26,1,1,102,0,None
Land Approval,Land,11,135,Critical,1,0,General,0,30.0,45.0,41.0,1,0,107,0,None
General Service Request,Revenue,20,132,Medium,0,0,OBC,0,6.0,10.0,18.12,1,1,101,0,None
